,month_year,has_card,count,card_ratio
1,2019-12,32,42,0.7619047619
2,2020-01,19,47,0.4042553191
3,2020-02,27,51,0.5294117647
4,2020-03,99,168,0.5892857143
5,2020-04,941,994,0.9466800805
6,2020-05,181,339,0.5339233038
7,2020-06,69,280,0.2464285714
8,2020-07,111,323,0.3436532508
9,2020-08,427,616,0.6931818182
10,2020-09,274,427,0.6416861827
11,2020-10,216,408,0.5294117647
12,2020-11,183,326,0.5613496933
13,2020-12,337,494,0.6821862348
14,2021-01,281,492,0.5711382114
15,2021-02,468,763,0.6133682831
16,2021-03,988,1358,0.7275405007
17,2021-04,746,1324,0.5634441088
18,2021-05,368,948,0.388185654
19,2021-06,420,1015,0.4137931034
20,2021-07,878,1796,0.4888641425
21,2021-08,865,1930,0.4481865285
22,2021-09,1110,2210,0.5022624434
23,2021-10,950,2054,0.4625121714
24,2021-11,932,2347,0.3971026843
25,2021-12,928,2918,0.3180260452
26,2022-01,1206,2863,0.4212364652
27,2022-02,1971,3513,0.561058924
28,2022-03,1749,3458,0.50578369
29,2022-04,2352,5702,0.4124868467
30,2022-05,3425,7299,0.469242362
31,2022-06,3471,6951,0.4993526111
32,2022-07,3920,6211,0.631138303
33,2022-08,3089,5781,0.53433662
34,2022-09,3504,6825,0.5134065934
35,2022-10,4207,8183,0.5141146279
36,2022-11,5324,10422,0.5108424487
37,2022-12,8567,13949,0.61416589
38,2023-01,9698,17673,0.5487466757
39,2023-02,10391,17200,0.604127907
40,2023-03,12834,23657,0.542503276
41,2023-04,12207,24341,0.5014995275
42,2023-05,12803,26095,0.490630389